NM_MUNICIPIO,NM_VOTAVEL,SG_PARTIDO,QT_VOTOS,PERCENTAGE
SERRA NEGRA,ELMIR CHEDID,UNIÃO,11961,0.7577446943300602
SERRA NEGRA,MARCO BUENO,REPUBLICANOS,3032,0.19208108964206524
SERRA NEGRA,MARCOS PRANCHA,PT,406,0.025720620842572064
SERRA NEGRA,PAULO FARIA,PSD,386,0.024453595185302504
BARRA BONITA,MANEZINHO,PL,12455,0.5978208697321685
BARRA BONITA,DR DIMAS,PP,4923,0.23629643851396756
BARRA BONITA,DRA  SÔNIA,REPUBLICANOS,1751,0.0840453105500624
BARRA BONITA,MAICON DÁGUA,PODE,1370,0.06575789574733608
BARRA BONITA,MARCELO CAVINATO,PT,335,0.016079485456465394
QUATÁ,MÁRCIO BIDÓIA,PSD,3990,0.5145067698259188
QUATÁ,ELIANA CASACA,PODE,3765,0.48549323017408125
SOCORRO,MAURICIO DE OLIVEIRA SANTOS,PSD,12381,0.5469847581179589
